user_id,email,username,age,department,position
20000,customerservice@apartmenttrends.com,customerservice,29,技术部,分析师
20001,damon.fraylon@enron.com,damon.fraylon,39,人力资源,主管
20002,wendy.king@enron.com,wendy.king,30,市场部,分析师
20003,julia.sudduth@enron.com,julia.sudduth,56,市场部,总监
20004,western.price.survey.contacts@ren-2.cais.net,western.price.survey.contacts,49,技术部,经理
20005,bob.kinsella@enron.com,bob.kinsella,27,人力资源,主管
20006,carolina.waingortin@enron.com,carolina.waingortin,54,技术部,总监
20007,brad.mckay@enron.com,brad.mckay,34,销售部,主管
20008,blair.sandberg@enron.com,blair.sandberg,50,管理层,经理
20009,morris.larubbio@enron.com,morris.larubbio,32,销售部,专员
20010,christine_zerilli@lotus.com,christine_zerilli,39,财务部,主管
20011,suzanne.nicholie@enron.com,suzanne.nicholie,43,市场部,经理
20012,glen.devries@enron.com,glen.devries,46,市场部,专员
20013,brad.carey@enron.com,brad.carey,44,管理层,经理
20014,jerome_alder@dell.com,jerome_alder,51,市场部,助理
20015,david.schaller.wg96@wharton.upenn.edu,david.schaller.wg96,27,管理层,分析师
20016,bob.m.hall@enron.com,bob.m.hall,45,人力资源,分析师
20017,jim.cole@enron.com,jim.cole,26,技术部,分析师
20018,j..brewer@enron.com,j..brewer,36,管理层,经理
20019,john.godbold@enron.com,john.godbold,36,市场部,助理
20020,caroline.abramo@enron.com,caroline.abramo,39,客服部,分析师
20021,john.best@enron.com,john.best,45,财务部,专员
20022,paulita.olvera@enron.com,paulita.olvera,44,人力资源,分析师
20023,jeff.leath@enron.com,jeff.leath,39,市场部,总监
20024,kim.ward@enron.com,kim.ward,32,人力资源,主管
20025,robert.vargas@enron.com,robert.vargas,51,销售部,专员
20026,eric.wetterstroem@enron.com,eric.wetterstroem,57,人力资源,分析师
20027,jobopps@idrc.org,jobopps,42,技术部,主管
20028,e-mail <.chris@enron.com>,e-mail <.chris,24,法务部,助理
20029,fabian.taylor@enron.com,fabian.taylor,39,市场部,主管
